ORIGINAL_CATEGORY,SIMPLIFIED_CATEGORY
housing_authorities,Community & Social Services
makeup_artist,Beauty & Personal Care
boat_tours,Entertainment & Recreation
eatertainment,Other
cotton_mill,Industrial & Manufacturing
metal_materials_and_experts,Other
pick_your_own_farm,Other
pediatric_endocrinology,Healthcare & Medical
country_dance_hall,Entertainment & Recreation
snorkeling_equipment_rental,Entertainment & Recreation
costume_store,Retail & Shopping
e_cigarette_store,Retail & Shopping
portuguese_restaurant,Food & Dining
engine_repair_service,Automotive
automotive_storage_facility,Professional Services
commercial_refrigeration,Other
swimming_instructor,Entertainment & Recreation
football_stadium,Entertainment & Recreation
firearm_training,Education & Learning
castle,Other
public_toilet,Food & Dining
bike_tours,Entertainment & Recreation
childproofing,Professional Services
window_supplier,Automotive
boat_charter,Automotive
hazardous_waste_disposal,Professional Services
airport_terminal,Transportation
auto_restoration_services,Automotive
powder_coating_service,Automotive
commercial_printer,Other
mongolian_restaurant,Food & Dining
fishing_club,Entertainment & Recreation
bedding_and_bath_stores,Retail & Shopping
photography_classes,Education & Learning
escrow_services,Automotive
casino,Entertainment & Recreation
peruvian_restaurant,Food & Dining
appliance_repair_service,Automotive
wildlife_sanctuary,Religious & Spiritual
reflexology,Beauty & Personal Care
aggregate_supplier,Home & Garden
furniture_reupholstery,Other
aesthetician,Beauty & Personal Care
fabric_wholesaler,Retail & Shopping
community_services_non_profits,Automotive
builders,Other
e_commerce_service,Automotive
addiction_rehabilitation_center,Healthcare & Medical
ski_and_snowboard_school,Education & Learning
trains,Transportation
neurotologist,Healthcare & Medical
auto_upholstery,Automotive
permanent_makeup,Beauty & Personal Care
backflow_services,Automotive
trailer_repair,Automotive
bicycle_path,Natural Features & Outdoor
pest_control_service,Professional Services
b2b_oil_and_gas_extraction_and_services,Automotive
social_welfare_center,Government & Public Services
azerbaijani_restaurant,Food & Dining
mortgage_broker,Professional Services
animal_physical_therapy,Healthcare & Medical
diagnostic_services,Healthcare & Medical
desserts,Other
fashion,Other
grain_production,Industrial & Manufacturing
private_tutor,Education & Learning
museum,Entertainment & Recreation
balloon_services,Automotive
mortgage_lender,Professional Services
bicycle_shop,Retail & Shopping
disability_law,Professional Services
home_and_rental_insurance,Professional Services
oil_change_station,Automotive
metal_fabricator,Other
race_track,Entertainment & Recreation
tobacco_company,Other
caricature,Automotive
lingerie_wholesaler,Retail & Shopping
soccer_field,Entertainment & Recreation
civilization_museum,Entertainment & Recreation
copywriting_service,Automotive
kitchen_incubator,Home & Garden
bolivian_restaurant,Food & Dining
check_cashing_payday_loans,Professional Services
business_office_supplies_and_stationery,Professional Services
surfing_school,Entertainment & Recreation
homeopathic_medicine,Healthcare & Medical
hong_kong_style_cafe,Food & Dining
dinner_theater,Entertainment & Recreation
estate_planning_law,Professional Services
dog_park,Entertainment & Recreation
machine_and_tool_rentals,Automotive
stucco_services,Automotive
public_market,Food & Dining
bail_bonds_service,Automotive
bar_and_grill_restaurant,Food & Dining
safe_store,Retail & Shopping
accommodation,Other
asian_fusion_restaurant,Food & Dining
private_association,Community & Social Services
internet_cafe,Food & Dining
motorcycle_manufacturer,Automotive
shooting_range,Other
sports_club_and_league,Entertainment & Recreation
drugstore,Retail & Shopping
professional_services,Automotive
cheesesteak_restaurant,Food & Dining
game_truck_rental,Entertainment & Recreation
handbag_stores,Retail & Shopping
bulgarian_restaurant,Food & Dining
sushi_restaurant,Food & Dining
notary_public,Food & Dining
driving_school,Education & Learning
mediator,Other
senegalese_restaurant,Food & Dining
gay_and_lesbian_services_organization,Automotive
paddle_tennis_club,Entertainment & Recreation
golf_cart_dealer,Entertainment & Recreation
social_club,Entertainment & Recreation
wig_store,Retail & Shopping
tile_store,Retail & Shopping
mission,Religious & Spiritual
drywall_services,Professional Services
imported_food,Food & Dining
veterans_organization,Government & Public Services
psychic_medium,Other
spring_supplier,Natural Features & Outdoor
