om_category,fsq_category_name,fsq_category_label,confidence_score
donuts,Donut Shop,Dining and Drinking > Donut Shop,71.2
tax_office,Office,Business and Professional Services > Office,71.2
business_financing,Business Center,Business and Professional Services > Business Center,71.1
business_schools,Business Center,Business and Professional Services > Business Center,71.0
psychic,Psychic and Astrologer,Arts and Entertainment > Psychic and Astrologer,71.0
threading_service,Welding Service,Business and Professional Services > Welding Service,71.0
flower_markets,Flea Market,Retail > Flea Market,71.0
immunodermatologist,Dermatologist,Health and Medicine > Physician > Dermatologist,71.0
health_and_wellness_club,Health and Medicine,Health and Medicine,71.0
costume_museum,Costume Store,Retail > Costume Store,71.0
vascular_medicine,Health and Medicine,Health and Medicine,70.9
playground_equipment_supplier,Industrial Equipment Supplier,Business and Professional Services > Industrial Equipment Supplier,70.9
book_magazine_distribution,Distribution Center,Business and Professional Services > Distribution Center,70.8
chocolatier,Chocolate Store,Retail > Food and Beverage Retail > Chocolate Store,70.8
musician,Music Store,Retail > Music Store,70.8
dinner_theater,Theater,Arts and Entertainment > Performing Arts Venue > Theater,70.8
record_label,Record Store,Retail > Record Store,70.8
outlet_store,Outlet Store,Retail > Outlet Store,70.8
photography_classes,Photography Lab,Business and Professional Services > Photography Service > Photography Lab,70.8
automation_services,Automotive Service,Business and Professional Services > Automotive Service,70.8
natural_hot_springs,Hot Spring,Landmarks and Outdoors > Hot Spring,70.8
road_contractor,General Contractor,Business and Professional Services > Home Improvement Service > General Contractor,70.7
health_food_restaurant,Health Food Store,Retail > Food and Beverage Retail > Health Food Store,70.7
south_african_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,70.7
gents_tailor,Tailor,Business and Professional Services > Tailor,70.7
public_service_and_government,Community and Government,Community and Government,70.6
flooring_contractors,Carpet and Flooring Contractor,Business and Professional Services > Home Improvement Service > Carpet and Flooring Contractor,70.6
garage_door_service,Garage Door Supplier,Business and Professional Services > Home Improvement Service > Garage Door Supplier,70.5
tattoo,Tattoo Parlor,Business and Professional Services > Health and Beauty Service > Tattoo Parlor,70.5
cable_car_service,Cable Car,Travel and Transportation > Cable Car,70.4
copywriting_service,"Writing, Copywriting and Technical Writing Service","Business and Professional Services > Writing, Copywriting and Technical Writing Service",70.4
shredding_services,Welding Service,Business and Professional Services > Welding Service,70.4
kitchen_remodeling,Kitchen Remodeler,Business and Professional Services > Home Improvement Service > Kitchen Remodeler,70.4
immigration_law,Immigration Attorney,Business and Professional Services > Legal Service > Immigration Attorney,70.4
internet_marketing_service,Direct Mail and Email Marketing Service,Business and Professional Services > Direct Mail and Email Marketing Service,70.4
dance_wear,Dance Store,Retail > Dance Store,70.4
party_and_event_planning,Event,Event,70.3
scale_supplier,Paper Supplier,Business and Professional Services > Paper Supplier,70.3
event_technology_service,Event,Event,70.3
sports_school,Sports Club,Sports and Recreation > Sports Club,70.2
jewelry_and_watches_manufacturer,Manufacturer,Business and Professional Services > Manufacturer,70.2
nursing_school,Nursing Home,Health and Medicine > Nursing Home,70.2
automobile_registration_service,Art Restoration Service,Business and Professional Services > Art Restoration Service,70.2
cremation_services,Creative Service,Business and Professional Services > Creative Service,70.2
jail_and_prison,Prison,Community and Government > Prison,70.2
snorkeling_equipment_rental,Equipment Rental Service,Business and Professional Services > Equipment Rental Service,70.1
sports_museum,Museum,Arts and Entertainment > Museum,70.1
country_club,Country Club,Arts and Entertainment > Country Club,70.1
leather_products_manufacturer,Manufacturer,Business and Professional Services > Manufacturer,70.1
mobile_phone_accessories,Fashion Accessories Store,Retail > Fashion Retail > Fashion Accessories Store,70.1
shipping_collection_services,Collections Service,Business and Professional Services > Financial Service > Collections Service,70.1
dui_school,Music School,Community and Government > Education > Music School,70.1
package_locker,Baggage Locker,Travel and Transportation > Baggage Locker,70.1
decorative_arts_museum,Museum,Arts and Entertainment > Museum,70.1
water_store,Water Sports,Sports and Recreation > Water Sports,70.1
furniture_store,Furniture and Home Store,Retail > Furniture and Home Store,70.1
eye_care_clinic,Skin Care Clinic,Business and Professional Services > Health and Beauty Service > Skin Care Clinic,70.0
fastener_supplier,Leather Supplier,Business and Professional Services > Leather Supplier,70.0
soccer_club,Soccer Club,Sports and Recreation > Soccer > Soccer Club,70.0
empanadas,Empanada Restaurant,Dining and Drinking > Restaurant > Latin American Restaurant > Empanada Restaurant,69.9
nephrologist,Neurologist,Health and Medicine > Physician > Neurologist,69.9
neuropathologist,Pathologist,Health and Medicine > Physician > Pathologist,69.9
billing_services,Logging Service,Business and Professional Services > Logging Service,69.9
dance_club,Dance Store,Retail > Dance Store,69.8
audiovisual_equipment_rental,Equipment Rental Service,Business and Professional Services > Equipment Rental Service,69.8
vinyl_record_store,Record Store,Retail > Record Store,69.8
lingerie_store,Lingerie Store,Retail > Fashion Retail > Lingerie Store,69.8
hobby_shop,Hobby Store,Retail > Hobby Store,69.8
health_spa,Health and Medicine,Health and Medicine,69.8
university_housing,University,Community and Government > Education > College and University > University,69.8
swimwear_store,Swimwear Store,Retail > Fashion Retail > Swimwear Store,69.8
talent_agency,Travel Agency,Travel and Transportation > Travel Agency,69.8
industrial_cleaning_services,Professional Cleaning Service,Business and Professional Services > Home Improvement Service > Professional Cleaning Service,69.6
geriatric_medicine,Geriatric Doctor,Health and Medicine > Physician > Geriatric Doctor,69.6
charter_school,Art School,Community and Government > Education > Art School,69.6
pediatric_orthopedic_surgery,Orthopedic Surgeon,Health and Medicine > Physician > Orthopedic Surgeon,69.6
lice_treatment,Addiction Treatment Center,Community and Government > Addiction Treatment Center,69.6
chimney_service,Chimney Sweep,Business and Professional Services > Home Improvement Service > Chimney Sweep,69.6
luggage_storage,Luggage Store,Retail > Luggage Store,69.5
cosmetic_surgeon,Cosmetics Store,Retail > Cosmetics Store,69.5
sport_equipment_rentals,Equipment Rental Service,Business and Professional Services > Equipment Rental Service,69.5
art_supply_store,Party Supply Store,Retail > Party Supply Store,69.5
embassy,Embassy or Consulate,Community and Government > Government Building > Embassy or Consulate,69.5
sports_and_fitness_instruction,Sports and Recreation,Sports and Recreation,69.5
business_consulting,Business and Strategy Consulting Office,Business and Professional Services > Office > Business and Strategy Consulting Office,69.5
restaurant_wholesale,Restaurant,Dining and Drinking > Restaurant > Restaurant,69.4
typing_services,Towing Service,Business and Professional Services > Automotive Service > Towing Service,69.4
aviation_museum,Museum,Arts and Entertainment > Museum,69.4
tobacco_company,Tobacco Store,Retail > Tobacco Store,69.3
diy_auto_shop,Auto Workshop,Retail > Auto Workshop,69.3
cosmetic_products_manufacturer,Manufacturer,Business and Professional Services > Manufacturer,69.3
mountain_bike_trails,Bike Trail,Landmarks and Outdoors > Bike Trail,69.3
thread_supplier,Leather Supplier,Business and Professional Services > Leather Supplier,69.3
editorial_services,Rental Service,Business and Professional Services > Rental Service,69.2
desert,Dessert Shop,Dining and Drinking > Dessert Shop,69.2
pet_photography,Photography Lab,Business and Professional Services > Photography Service > Photography Lab,69.2
food_tours,Food Court,Dining and Drinking > Food Court,69.2
vitamins_and_supplements,Supplement Store,Retail > Supplement Store,69.2
dj_service,Pet Service,Business and Professional Services > Pet Service,69.2
threads_and_yarns_wholesaler,Wholesaler,Business and Professional Services > Wholesaler,69.2
brake_service_and_repair,Repair Service,Business and Professional Services > Repair Service,69.2
auto_body_shop,Auto Workshop,Retail > Auto Workshop,69.2
swimming_instructor,Scuba Diving Instructor,Sports and Recreation > Water Sports > Scuba Diving Instructor,69.2
stadium_arena,Stadium,Arts and Entertainment > Stadium,69.1
government_services,Entertainment Service,Business and Professional Services > Entertainment Service,69.1
human_resource_services,Human Resources Agency,Business and Professional Services > Human Resources Agency,69.1
septic_services,Pet Service,Business and Professional Services > Pet Service,69.1
cultural_center,Cultural Center,Community and Government > Cultural Center,69.0
trains,Train,Travel and Transportation > Train,69.0
cheesesteak_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,69.0
nanny_services,Laundry Service,Business and Professional Services > Laundry Service,69.0
sandblasting_service,Translation Service,Business and Professional Services > Translation Service,69.0
grout_service,Airport Service,Travel and Transportation > Transport Hub > Airport > Airport Service,68.8
aggregate_supplier,Leather Supplier,Business and Professional Services > Leather Supplier,68.8
serbo_croatian_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,68.8
bridal_shop,Bridal Store,Retail > Fashion Retail > Bridal Store,68.8
photography_museum,Photography Service,Business and Professional Services > Photography Service,68.8
it_support_and_service,Transportation Service,Travel and Transportation > Transportation Service,68.6
mobility_equipment_services,Equipment Rental Service,Business and Professional Services > Equipment Rental Service,68.6
public_and_government_association,Community and Government,Community and Government,68.6
beach_equipment_rentals,Equipment Rental Service,Business and Professional Services > Equipment Rental Service,68.6
spring_supplier,Paper Supplier,Business and Professional Services > Paper Supplier,68.6
secretarial_services,Rental Service,Business and Professional Services > Rental Service,68.6
sailing_area,Sailing Club,Sports and Recreation > Water Sports > Sailing Club,68.6
recording_and_rehearsal_studio,Recording Studio,Business and Professional Services > Recording Studio,68.6
bearing_supplier,Rubber Supplier,Business and Professional Services > Rubber Supplier,68.5
oil_and_gas_field_equipment_and_services,Equipment Rental Service,Business and Professional Services > Equipment Rental Service,68.5
jehovahs_witness_kingdom_hall,Kingdom Hall,Community and Government > Spiritual Center > Kingdom Hall,68.5
bicycle_shop,Bicycle Store,Retail > Sporting Goods Retail > Bicycle Store,68.4
lawn_service,Laundry Service,Business and Professional Services > Laundry Service,68.4
hospital_equipment_and_supplies,Industrial Equipment Supplier,Business and Professional Services > Industrial Equipment Supplier,68.4
coffee_and_tea_supplies,Pet Supplies Store,Retail > Pet Supplies Store,68.4
sculpture_statue,Sculpture Garden,Landmarks and Outdoors > Sculpture Garden,68.4
national_museum,Museum,Arts and Entertainment > Museum,68.4
bicycle_path,Bicycle Store,Retail > Sporting Goods Retail > Bicycle Store,68.4
korean_grocery_store,Organic Grocery,Retail > Food and Beverage Retail > Grocery Store > Organic Grocery,68.4
stone_supplier,Petroleum Supplier,Business and Professional Services > Petroleum Supplier,68.4
urban_farm,Urban Park,Landmarks and Outdoors > Park > Urban Park,68.4
fishing_club,Fishing Store,Retail > Sporting Goods Retail > Fishing Store,68.4
boat_service_and_repair,Repair Service,Business and Professional Services > Repair Service,68.4
antenna_service,Rental Service,Business and Professional Services > Rental Service,68.3
tax_services,Pet Service,Business and Professional Services > Pet Service,68.3
department_of_social_service,Public and Social Service,Community and Government > Public and Social Service,68.3
rv_rentals,Retail,Retail,68.3
food_delivery_service,Food and Beverage Service,Business and Professional Services > Food and Beverage Service,68.3
emergency_pet_hospital,Hospital,Health and Medicine > Hospital,68.2
public_restrooms,Public Bathroom,Community and Government > Public Bathroom,68.2
weather_station,Metro Station,Travel and Transportation > Transport Hub > Metro Station,68.2
cosmetic_and_beauty_supplies,Pet Supplies Store,Retail > Pet Supplies Store,68.2
ferry_service,Emergency Service,Health and Medicine > Emergency Service,68.1
breakfast_and_brunch_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,68.1
bags_luggage_company,Luggage Store,Retail > Luggage Store,68.1
utility_service,IT Service,Business and Professional Services > Technology Business > IT Service,68.1
auto_company,Utility Company,Community and Government > Utility Company,68.0
surfing_school,Driving School,Community and Government > Education > Driving School,68.0
excavation_service,Translation Service,Business and Professional Services > Translation Service,68.0
laboratory_testing,Laboratory,Business and Professional Services > Laboratory,68.0
business_equipment_and_supply,Industrial Equipment Supplier,Business and Professional Services > Industrial Equipment Supplier,68.0
restaurant_management,Restaurant,Dining and Drinking > Restaurant > Restaurant,68.0
electrical_supply_store,Medical Supply Store,Retail > Medical Supply Store,68.0
doner_kebab,Kebab Restaurant,Dining and Drinking > Restaurant > Kebab Restaurant,68.0
machine_shop,Machine Shop,Business and Professional Services > Machine Shop,67.9
photo_booth_rental,Boat Rental,Travel and Transportation > Boat Rental,67.9
climbing_service,Assisted Living Service,Health and Medicine > Assisted Living Service,67.9
ceiling_and_roofing_repair_and_service,Repair Service,Business and Professional Services > Repair Service,67.9
butcher_shop,Butcher,Retail > Food and Beverage Retail > Butcher,67.9
business_office_supplies_and_stationery,Stationery Store,Retail > Stationery Store,67.9
country_house,Country Club,Arts and Entertainment > Country Club,67.8
crane_services,Oil Change Service,Business and Professional Services > Automotive Service > Oil Change Service,67.8
piano_services,Business and Professional Services,Business and Professional Services,67.8
fitness_equipment_wholesaler,Wholesaler,Business and Professional Services > Wholesaler,67.8
childrens_museum,Museum,Arts and Entertainment > Museum,67.8
comedy_club,Comedy Club,Arts and Entertainment > Comedy Club,67.8
industrial_company,Utility Company,Community and Government > Utility Company,67.7
temp_agency,Travel Agency,Travel and Transportation > Travel Agency,67.7
inspection_services,Business and Professional Services,Business and Professional Services,67.7
military_museum,Military Base,Community and Government > Government Building > Military > Military Base,67.7
e_commerce_service,Emergency Service,Health and Medicine > Emergency Service,67.7
public_school,Music School,Community and Government > Education > Music School,67.7
adult_store,Adult Store,Retail > Adult Store,67.6
sailing_club,Sailing Club,Sports and Recreation > Water Sports > Sailing Club,67.6
session_photography,Photography Lab,Business and Professional Services > Photography Service > Photography Lab,67.6
tableware_supplier,Leather Supplier,Business and Professional Services > Leather Supplier,67.6
maternity_centers,Maternity Clinic,Health and Medicine > Maternity Clinic,67.6
print_media,Print Store,Retail > Print Store,67.6
jewelry_store,Jewelry Store,Retail > Fashion Retail > Jewelry Store,67.6
car_inspection,Home Inspection,Business and Professional Services > Home Improvement Service > Home Inspection,67.6
hockey_arena,Hockey Rink,Sports and Recreation > Hockey > Hockey Rink,67.6
ip_and_internet_law,Internet Cafe,Arts and Entertainment > Internet Cafe,67.5
ambulance_and_ems_services,Business and Professional Services,Business and Professional Services,67.5
canoe_and_kayak_hire_service,Canoe and Kayak Rental,Sports and Recreation > Water Sports > Canoe and Kayak Rental,67.5
himalayan_nepalese_restaurant,Himalayan Restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Himalayan Restaurant,67.4
pediatric_gastroenterology,Gastroenterologist,Health and Medicine > Physician > Gastroenterologist,67.4
social_club,Social Club,Community and Government > Social Club,67.4
lactation_services,Art Restoration Service,Business and Professional Services > Art Restoration Service,67.4
karaoke_rental,Bike Rental,Travel and Transportation > Bike Rental,67.4
granite_supplier,Leather Supplier,Business and Professional Services > Leather Supplier,67.4
structural_engineer,Engineer,Business and Professional Services > Engineer,67.4
computer_hardware_company,Hardware Store,Retail > Hardware Store,67.4
outdoor_gear,Outdoor Gym,Sports and Recreation > Gym and Studio > Outdoor Gym,67.4
promotional_products_and_services,Promotional Item Service,Business and Professional Services > Promotional Item Service,67.4
disability_services_and_support_organization,Organization,Community and Government > Organization,67.4
foster_care_services,Child Care Service,Business and Professional Services > Child Care Service,67.4
cannabis_collective,Cannabis Store,Retail > Cannabis Store,67.3
metal_plating_service,Mental Health Service,Health and Medicine > Mental Health Service,67.3
chinese_martial_arts_club,Martial Arts Dojo,Sports and Recreation > Martial Arts Dojo,67.2
construction_management,Construction,Business and Professional Services > Construction,67.2
furniture_manufacturers,Manufacturer,Business and Professional Services > Manufacturer,67.2
hvac_supplier,Plastics Supplier,Business and Professional Services > Plastics Supplier,67.2
registry_office,Office,Business and Professional Services > Office,67.2
dive_shop,Dive Spot,Landmarks and Outdoors > Dive Spot,67.2
health_consultant,Management Consultant,Business and Professional Services > Management Consultant,67.2
computer_museum,Museum,Arts and Entertainment > Museum,67.2
surf_shop,Surf Spot,Landmarks and Outdoors > Surf Spot,67.2
child_protection_service,Child Care Service,Business and Professional Services > Child Care Service,67.2
fireplace_service,Repair Service,Business and Professional Services > Repair Service,67.2
makerspace,Marketplace,Event > Marketplace,67.2
environmental_conservation_and_ecological_organizations,Environmental Organization,Community and Government > Organization > Environmental Organization,67.2
park_and_rides,Park,Landmarks and Outdoors > Park,67.2
fish_farm,Farm,Landmarks and Outdoors > Farm,67.2
physician_assistant,Physician,Health and Medicine > Physician,67.2
beach_resort,Resort,Travel and Transportation > Lodging > Resort,67.2
trailer_dealer,Trailer Park,Community and Government > Trailer Park,67.0
farming_services,Pet Grooming Service,Business and Professional Services > Pet Service > Pet Grooming Service,67.0
beverage_store,Food and Beverage Retail,Retail > Food and Beverage Retail,67.0
elevator_service,Pet Service,Business and Professional Services > Pet Service,67.0
beverage_supplier,Leather Supplier,Business and Professional Services > Leather Supplier,67.0
abrasives_supplier,Plastics Supplier,Business and Professional Services > Plastics Supplier,67.0
pig_farm,Farm,Landmarks and Outdoors > Farm,67.0
fire_protection_service,Transportation Service,Travel and Transportation > Transportation Service,67.0
shoe_shining_service,Check Cashing Service,Business and Professional Services > Financial Service > Check Cashing Service,66.9
farrier_services,Repair Service,Business and Professional Services > Repair Service,66.9
cabinet_sales_service,Business Service,Business and Professional Services > Business Service,66.9
department_of_motor_vehicles,Department Store,Retail > Department Store,66.9
car_auction,Auction House,Retail > Auction House,66.9
ski_area,Ski Resort and Area,Sports and Recreation > Snow Sports > Ski Resort and Area,66.8
furniture_wholesalers,Furniture and Home Store,Retail > Furniture and Home Store,66.8
dairy_farm,Farm,Landmarks and Outdoors > Farm,66.7
janitorial_services,Rental Service,Business and Professional Services > Rental Service,66.7
massage_school,Language School,Community and Government > Education > Language School,66.7
counseling_and_mental_health,Mental Health Service,Health and Medicine > Mental Health Service,66.7
placenta_encapsulation_service,Translation Service,Business and Professional Services > Translation Service,66.7
food_banks,Blood Bank,Health and Medicine > Blood Bank,66.7
medical_center,Medical Center,Health and Medicine > Medical Center,66.7
rheumatologist,Dermatologist,Health and Medicine > Physician > Dermatologist,66.6
pet_boarding,Board Store,Retail > Board Store,66.6
transport_interchange,Transport Hub,Travel and Transportation > Transport Hub,66.6
educational_services,Rental Service,Business and Professional Services > Rental Service,66.6
metal_detector_services,Mental Health Service,Health and Medicine > Mental Health Service,66.6
furniture_repair,Furniture and Home Store,Retail > Furniture and Home Store,66.6
indian_sweets_shop,Indian Sweet Shop,Dining and Drinking > Restaurant > Indian Restaurant > Indian Sweet Shop,66.5
b2b_agriculture_and_food,Agriculture and Forestry Service,Business and Professional Services > Agriculture and Forestry Service,66.5
automotive_wheel_polishing_service,Automotive Service,Business and Professional Services > Automotive Service,66.5
golf_cart_rental,Boat Rental,Travel and Transportation > Boat Rental,66.4
bocce_ball_court,Volleyball Court,Sports and Recreation > Volleyball Court,66.4
firework_retailer,Retail,Retail,66.4
b2b_cleaning_and_waste_management,Waste Management Service,Business and Professional Services > Waste Management Service,66.4
tower,Flower Store,Retail > Flower Store,66.4
music_critic,Music Store,Retail > Music Store,66.4
mens_clothing_store,Clothing Store,Retail > Fashion Retail > Clothing Store,66.4
spine_surgeon,General Surgeon,Health and Medicine > Physician > General Surgeon,66.4
proctologist,Oncologist,Health and Medicine > Physician > Oncologist,66.4
clothing_company,Clothing Store,Retail > Fashion Retail > Clothing Store,66.4
surfboard_rental,Boat Rental,Travel and Transportation > Boat Rental,66.4
video_game_store,Video Games Store,Retail > Computers and Electronics Retail > Video Games Store,66.3
dance_school,Trade School,Community and Government > Education > Trade School,66.3
light_rail_and_subway_stations,Light Rail Station,Travel and Transportation > Transport Hub > Light Rail Station,66.3
town_car_service,Home Health Care Service,Health and Medicine > Home Health Care Service,66.3
go_kart_club,Go Kart Track,Arts and Entertainment > Go Kart Track,66.3
bingo_hall,Kingdom Hall,Community and Government > Spiritual Center > Kingdom Hall,66.3
drywall_services,Rental Service,Business and Professional Services > Rental Service,66.2
street_vendor,Street,Travel and Transportation > Street,66.2
bus_rentals,Retail,Retail,66.2
haunted_house,Auction House,Retail > Auction House,66.2
pain_management,Waste Management Service,Business and Professional Services > Waste Management Service,66.2
podiatry,Podiatrist,Health and Medicine > Podiatrist,66.2
boudoir_photography,Photography Lab,Business and Professional Services > Photography Service > Photography Lab,66.2
travel_services,Tree Service,Business and Professional Services > Home Improvement Service > Tree Service,66.1
preventive_medicine,Alternative Medicine Clinic,Health and Medicine > Alternative Medicine Clinic,66.1
natural_gas_supplier,Metals Supplier,Business and Professional Services > Metals Supplier,66.1
software_development,Housing Development,Community and Government > Housing Development,66.1
sports_club_and_league,Sports Club,Sports and Recreation > Sports Club,66.1
community_services_non_profits,Community Center,Community and Government > Community Center,66.1
adoption_services,Business and Professional Services,Business and Professional Services,66.1
furniture_assembly,Furniture and Home Store,Retail > Furniture and Home Store,66.0
railway_service,Laundry Service,Business and Professional Services > Laundry Service,66.0
music_production_services,Business and Professional Services,Business and Professional Services,66.0
dog_trainer,Personal Trainer,Sports and Recreation > Personal Trainer,66.0
marketing_agency,Advertising Agency,Business and Professional Services > Advertising Agency,66.0
amateur_sports_team,Water Sports,Sports and Recreation > Water Sports,66.0
demolition_service,Collections Service,Business and Professional Services > Financial Service > Collections Service,66.0
environmental_testing,Environmental Organization,Community and Government > Organization > Environmental Organization,66.0
marketing_consultant,Management Consultant,Business and Professional Services > Management Consultant,65.9
public_plaza,Public Art,Arts and Entertainment > Public Art,65.9
campus_building,Capitol Building,Community and Government > Government Building > Capitol Building,65.9
logging_contractor,Carpet and Flooring Contractor,Business and Professional Services > Home Improvement Service > Carpet and Flooring Contractor,65.9
pulmonologist,Oncologist,Health and Medicine > Physician > Oncologist,65.9
3d_printing_service,Assisted Living Service,Health and Medicine > Assisted Living Service,65.8
security_services,IT Service,Business and Professional Services > Technology Business > IT Service,65.8
tire_dealer_and_repair,Tire Repair Shop,Business and Professional Services > Automotive Service > Tire Repair Shop,65.8
automobile_leasing,Automotive Retail,Retail > Automotive Retail,65.8
industrial_spares_and_products_wholesaler,Wholesaler,Business and Professional Services > Wholesaler,65.8
translating_and_interpreting_services,Business and Professional Services,Business and Professional Services,65.8
textile_mill,Textiles Store,Retail > Textiles Store,65.8
health_coach,Health and Medicine,Health and Medicine,65.8
cheese_shop,Cheese Store,Retail > Food and Beverage Retail > Cheese Store,65.8
occupational_medicine,Health and Medicine,Health and Medicine,65.8
tapas_bar,Tapas Restaurant,Dining and Drinking > Restaurant > Spanish Restaurant > Tapas Restaurant,65.7
yoga_instructor,Scuba Diving Instructor,Sports and Recreation > Water Sports > Scuba Diving Instructor,65.7
balloon_services,Logging Service,Business and Professional Services > Logging Service,65.7
board_of_education_offices,Education,Community and Government > Education,65.7
gift_shop,Gift Store,Retail > Gift Store,65.6
travel_company,Utility Company,Community and Government > Utility Company,65.6
pawn_shop,Pawn Shop,Retail > Pawn Shop,65.6
architecture_schools,Architecture Firm,Business and Professional Services > Architecture Firm,65.6
gutter_service,Automotive Service,Business and Professional Services > Automotive Service,65.6
power_plants_and_power_plant_service,Power Plant,Business and Professional Services > Power Plant,65.6
scooter_rental,Boat Rental,Travel and Transportation > Boat Rental,65.6
pedicab_service,Pet Service,Business and Professional Services > Pet Service,65.6
appliance_store,Home Appliance Store,Retail > Furniture and Home Store > Home Appliance Store,65.6
pharmaceutical_products_wholesaler,Wholesaler,Business and Professional Services > Wholesaler,65.5
casting_molding_and_machining,Dining and Drinking,Dining and Drinking,65.4
otologist,Pathologist,Health and Medicine > Physician > Pathologist,65.4
television_station,TV Station,Business and Professional Services > TV Station,65.4
qi_gong_studio,Yoga Studio,Sports and Recreation > Gym and Studio > Yoga Studio,65.4
car_broker,Stock Broker,Business and Professional Services > Financial Service > Stock Broker,65.4
appraisal_services,Rental Service,Business and Professional Services > Rental Service,65.4
aquarium_services,Aquarium,Arts and Entertainment > Aquarium,65.4
anglican_church,Church,Community and Government > Spiritual Center > Church,65.4
public_bath_houses,Public Bathroom,Community and Government > Public Bathroom,65.4
air_duct_cleaning_service,Professional Cleaning Service,Business and Professional Services > Home Improvement Service > Professional Cleaning Service,65.4
eat_and_drink,Dining and Drinking,Dining and Drinking,65.3
asian_grocery_store,Organic Grocery,Retail > Food and Beverage Retail > Grocery Store > Organic Grocery,65.3
shopping_center,Shopping Mall,Retail > Shopping Mall,65.3
bagel_shop,Bagel Shop,Dining and Drinking > Bagel Shop,65.2
salad_bar,Salad Restaurant,Dining and Drinking > Restaurant > Salad Restaurant,65.2
prosthetics,Cosmetics Store,Retail > Cosmetics Store,65.2
horse_trainer,Personal Trainer,Sports and Recreation > Personal Trainer,65.2
packing_services,Logging Service,Business and Professional Services > Logging Service,65.1
animation_studio,Gym and Studio,Sports and Recreation > Gym and Studio,65.1
used_vintage_and_consignment,Vintage and Thrift Store,Retail > Vintage and Thrift Store,65.1
paving_contractor,Carpet and Flooring Contractor,Business and Professional Services > Home Improvement Service > Carpet and Flooring Contractor,65.1
maternity_wear,Maternity Clinic,Health and Medicine > Maternity Clinic,65.1
public_adjuster,Public Art,Arts and Entertainment > Public Art,65.0
student_union,Student Center,Community and Government > Education > College and University > Student Center,65.0
pediatric_anesthesiology,Anesthesiologist,Health and Medicine > Physician > Anesthesiologist,65.0
international_grocery_store,International Airport,Travel and Transportation > Transport Hub > Airport > International Airport,65.0
escrow_services,Pet Service,Business and Professional Services > Pet Service,65.0
tv_mounting,Mountain,Landmarks and Outdoors > Mountain,65.0
aircraft_parts_and_supplies,Pet Supplies Store,Retail > Pet Supplies Store,64.9
web_hosting_service,Towing Service,Business and Professional Services > Automotive Service > Towing Service,64.9
electricity_supplier,Electrical Equipment Supplier,Business and Professional Services > Electrical Equipment Supplier,64.9
laser_hair_removal,Hair Removal Service,Business and Professional Services > Health and Beauty Service > Hair Removal Service,64.9
golf_instructor,Scuba Diving Instructor,Sports and Recreation > Water Sports > Scuba Diving Instructor,64.9
sommelier_service,Repair Service,Business and Professional Services > Repair Service,64.9
merchandising_service,Welding Service,Business and Professional Services > Welding Service,64.9
pet_training,Computer Training School,Community and Government > Education > Computer Training School,64.8
indoor_playcenter,Indoor Play Area,Sports and Recreation > Indoor Play Area,64.8
bartending_school,Driving School,Community and Government > Education > Driving School,64.8
liquor_store,Liquor Store,Retail > Food and Beverage Retail > Liquor Store,64.8
toxicologist,Oncologist,Health and Medicine > Physician > Oncologist,64.8
publicity_service,IT Service,Business and Professional Services > Technology Business > IT Service,64.8
eyelash_service,Mental Health Service,Health and Medicine > Mental Health Service,64.7
exterior_design,Interior Designer,Business and Professional Services > Home Improvement Service > Interior Designer,64.7
poultry_farm,Farm,Landmarks and Outdoors > Farm,64.7
strip_club,Strip Club,Arts and Entertainment > Strip Club,64.7
payroll_services,Repair Service,Business and Professional Services > Repair Service,64.7
salsa_club,Salsa Club,Arts and Entertainment > Salsa Club,64.7
ice_cream_and_frozen_yoghurt,Frozen Yogurt Shop,Dining and Drinking > Dessert Shop > Frozen Yogurt Shop,64.7
personal_chef,Personal Trainer,Sports and Recreation > Personal Trainer,64.6
duplication_services,Telecommunication Service,Business and Professional Services > Telecommunication Service,64.6
catholic_church,Church,Community and Government > Spiritual Center > Church,64.6
central_government_office,Post Office,Community and Government > Government Building > Post Office,64.6
electronic_parts_supplier,Paper Supplier,Business and Professional Services > Paper Supplier,64.6
b2b_electronic_equipment,Electrical Equipment Supplier,Business and Professional Services > Electrical Equipment Supplier,64.6
pet_insurance,Insurance Agency,Business and Professional Services > Insurance Agency,64.5
furniture_reupholstery,Furniture and Home Store,Retail > Furniture and Home Store,64.5
real_estate_photography,Photography Lab,Business and Professional Services > Photography Service > Photography Lab,64.5
printing_services,IT Service,Business and Professional Services > Technology Business > IT Service,64.5
baptist_church,Church,Community and Government > Spiritual Center > Church,64.5
environmental_medicine,Environmental Organization,Community and Government > Organization > Environmental Organization,64.4
emissions_inspection,Home Inspection,Business and Professional Services > Home Improvement Service > Home Inspection,64.4
golf_club,Golf Club,Sports and Recreation > Golf > Golf Club,64.4
logging_equipment_and_supplies,Pet Supplies Store,Retail > Pet Supplies Store,64.4
blacksmiths,Locksmith,Business and Professional Services > Locksmith,64.4
womens_clothing_store,Clothing Store,Retail > Fashion Retail > Clothing Store,64.4
car_rental_agency,Travel Agency,Travel and Transportation > Travel Agency,64.4
