CATEGORY_LABEL,SIMPLIFIED_CATEGORY
glass_blowing,Other Services
secretarial_services,Other Services
shopping,Retail & Shopping
bathroom_remodeling,Construction & Contractors
boxing_gym,Beauty & Wellness
telephone_services,Utilities & Infrastructure
trusts,Other Services
department_store,Retail & Shopping
hat_shop,Retail & Shopping
hockey_field,Sports & Recreation
wholesaler,Other Services
himalayan_nepalese_restaurant,Food & Dining
executive_search_consultants,Professional Services
ceiling_and_roofing_repair_and_service,Automotive
adult_store,Retail & Shopping
colonics,Other Services
college_university,Education
town_car_service,Automotive
sommelier_service,Other Services
mechanical_engineers,Automotive
landmark_and_historical_building,Tourism & Attractions
environmental_conservation_and_ecological_organizations,Manufacturing & Industrial
public_adjuster,Food & Dining
bus_tours,Tourism & Attractions
exporters,Transportation
laboratory_equipment_supplier,Business-to-Business
customized_merchandise,Other Services
produce_wholesaler,Agriculture & Farming
medical_cannabis_referral,Healthcare & Medical
hunting_and_fishing_supplies,Sports & Recreation
housing_authorities,Accommodation & Lodging
makeup_artist,Beauty & Wellness
boat_tours,Tourism & Attractions
eatertainment,Other Services
cotton_mill,Manufacturing & Industrial
metal_materials_and_experts,Manufacturing & Industrial
pick_your_own_farm,Agriculture & Farming
pediatric_endocrinology,Healthcare & Medical
country_dance_hall,Other Services
snorkeling_equipment_rental,Other Services
costume_store,Retail & Shopping
e_cigarette_store,Retail & Shopping
portuguese_restaurant,Food & Dining
engine_repair_service,Automotive
automotive_storage_facility,Automotive
commercial_refrigeration,Other Services
swimming_instructor,Education
football_stadium,Sports & Recreation
firearm_training,Education
castle,Tourism & Attractions
public_toilet,Food & Dining
bike_tours,Tourism & Attractions
childproofing,Construction & Contractors
window_supplier,Business-to-Business
boat_charter,Other Services
hazardous_waste_disposal,Utilities & Infrastructure
airport_terminal,Transportation
auto_restoration_services,Automotive
powder_coating_service,Other Services
commercial_printer,Other Services
mongolian_restaurant,Food & Dining
fishing_club,Sports & Recreation
bedding_and_bath_stores,Retail & Shopping
photography_classes,Education
escrow_services,Other Services
casino,Arts & Entertainment
peruvian_restaurant,Food & Dining
appliance_repair_service,Automotive
wildlife_sanctuary,Parks & Natural Features
reflexology,Other Services
aggregate_supplier,Business-to-Business
furniture_reupholstery,Automotive
aesthetician,Beauty & Wellness
fabric_wholesaler,Other Services
community_services_non_profits,Community & Social Services
builders,Construction & Contractors
e_commerce_service,Other Services
addiction_rehabilitation_center,Healthcare & Medical
ski_and_snowboard_school,Sports & Recreation
trains,Other Services
neurotologist,Healthcare & Medical
auto_upholstery,Automotive
permanent_makeup,Beauty & Wellness
backflow_services,Other Services
trailer_repair,Automotive
bicycle_path,Other Services
pest_control_service,Home & Garden Services
b2b_oil_and_gas_extraction_and_services,Manufacturing & Industrial
social_welfare_center,Government & Public Services
azerbaijani_restaurant,Food & Dining
mortgage_broker,Financial Services
animal_physical_therapy,Healthcare & Medical
diagnostic_services,Other Services
desserts,Food & Dining
fashion,Other Services
grain_production,Arts & Entertainment
private_tutor,Other Services
museum,Arts & Entertainment
balloon_services,Event Services
mortgage_lender,Financial Services
bicycle_shop,Retail & Shopping
disability_law,Professional Services
home_and_rental_insurance,Financial Services
oil_change_station,Automotive
metal_fabricator,Manufacturing & Industrial
race_track,Sports & Recreation
tobacco_company,Other Services
caricature,Other Services
lingerie_wholesaler,Other Services
soccer_field,Sports & Recreation
civilization_museum,Arts & Entertainment
copywriting_service,Other Services
kitchen_incubator,Other Services
bolivian_restaurant,Food & Dining
check_cashing_payday_loans,Financial Services
business_office_supplies_and_stationery,Other Services
surfing_school,Sports & Recreation
homeopathic_medicine,Healthcare & Medical
hong_kong_style_cafe,Food & Dining
dinner_theater,Arts & Entertainment
estate_planning_law,Professional Services
dog_park,Parks & Natural Features
machine_and_tool_rentals,Other Services
stucco_services,Other Services
public_market,Food & Dining
bail_bonds_service,Financial Services
bar_and_grill_restaurant,Food & Dining
safe_store,Retail & Shopping
accommodation,Accommodation & Lodging
asian_fusion_restaurant,Food & Dining
private_association,Community & Social Services
internet_cafe,Food & Dining
motorcycle_manufacturer,Automotive
shooting_range,Sports & Recreation
sports_club_and_league,Sports & Recreation
drugstore,Retail & Shopping
professional_services,Other Services
cheesesteak_restaurant,Food & Dining
game_truck_rental,Automotive
handbag_stores,Retail & Shopping
bulgarian_restaurant,Food & Dining
sushi_restaurant,Food & Dining
notary_public,Food & Dining
driving_school,Other Services
mediator,Professional Services
senegalese_restaurant,Food & Dining
gay_and_lesbian_services_organization,Community & Social Services
paddle_tennis_club,Sports & Recreation
golf_cart_dealer,Automotive
social_club,Other Services
wig_store,Retail & Shopping
tile_store,Retail & Shopping
mission,Religious & Spiritual
drywall_services,Construction & Contractors
imported_food,Food & Dining
veterans_organization,Community & Social Services
psychic_medium,Religious & Spiritual
spring_supplier,Parks & Natural Features
